osu file format v14

[General]
AudioFilename: audio.mp3
AudioLeadIn: 0
PreviewTime: 85875
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 1
LetterboxInBreaks: 0
WidescreenStoryboard: 1

[Editor]
Bookmarks: 375,6375,12375,24375,36375,48375,60375,72375,85875,97875,106875,117375,120937,124875
DistanceSpacing: 2.4
BeatDivisor: 2
GridSize: 32
TimelineZoom: 1

[Metadata]
Title:Born To Run
TitleUnicode:Born To Run
Artist:Hanako Nana
ArtistUnicode:하나코 나나
Creator:arien666
Version:1 Star
Source:봉누도
Tags:korean rock 花子ナナ 쌍칠아재 ミツキヨ mitsukiyo 미츠키요 stellive 스텔라이브 cliché cliche 클리셰 77 bongnudo GTA grand theft auto V 5 vtuber 버튜버 버츄얼 유튜버 virtual バーチャル youtuber POCARI SWEAT marksman666
BeatmapID:5183032
BeatmapSetID:2293341

[Difficulty]
HPDrainRate:8.7
CircleSize:1.2
OverallDifficulty:2.7
ApproachRate:1.2
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
0,0,"born to run.jpg",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples

[TimingPoints]
375,375,4,1,0,85,1,0
85875,-100,4,1,0,85,0,1
105375,-100,4,1,0,85,0,0


[HitObjects]
256,192,375,5,12,0:0:0:0:
256,192,3375,1,12,0:0:0:0:
256,192,6375,1,0,0:0:0:0:
256,192,9375,1,8,0:0:0:0:
256,192,12375,1,12,0:0:0:0:
256,192,13125,1,8,0:0:0:0:
256,192,13875,1,0,0:0:0:0:
256,192,14625,1,8,0:0:0:0:
256,192,15000,1,8,0:0:0:0:
256,192,15375,1,4,0:0:0:0:
256,192,16125,1,8,0:0:0:0:
256,192,16875,1,0,0:0:0:0:
256,192,17625,1,0,0:0:0:0:
256,192,18000,1,8,0:0:0:0:
256,192,18375,1,4,0:0:0:0:
256,192,19125,1,8,0:0:0:0:
256,192,19875,1,8,0:0:0:0:
256,192,20625,1,0,0:0:0:0:
256,192,21750,1,8,0:0:0:0:
256,192,22125,1,0,0:0:0:0:
256,192,22500,1,8,0:0:0:0:
256,192,22875,1,0,0:0:0:0:
256,192,24375,5,4,0:0:0:0:
256,192,25125,1,0,0:0:0:0:
256,192,25687,1,8,0:0:0:0:
256,192,26625,1,8,0:0:0:0:
256,192,27000,1,8,0:0:0:0:
256,192,27375,1,0,0:0:0:0:
256,192,28125,1,0,0:0:0:0:
256,192,28687,1,8,0:0:0:0:
256,192,29625,1,0,0:0:0:0:
256,192,30000,1,8,0:0:0:0:
256,192,30375,1,0,0:0:0:0:
256,192,31125,1,0,0:0:0:0:
256,192,31687,1,8,0:0:0:0:
256,192,32625,1,8,0:0:0:0:
256,192,33000,1,8,0:0:0:0:
256,192,33375,1,0,0:0:0:0:
256,192,34125,1,0,0:0:0:0:
256,192,34687,1,8,0:0:0:0:
256,192,35625,1,0,0:0:0:0:
256,192,36000,1,8,0:0:0:0:
256,192,36375,1,4,0:0:0:0:
256,192,37875,1,8,0:0:0:0:
256,192,39375,1,8,0:0:0:0:
244,190,40125,1,0,0:0:0:0:
256,192,40875,1,8,0:0:0:0:
256,192,42375,1,4,0:0:0:0:
256,192,43875,1,8,0:0:0:0:
256,192,45375,1,8,0:0:0:0:
256,192,46125,1,8,0:0:0:0:
256,192,46875,1,0,0:0:0:0:
256,192,48000,1,8,0:0:0:0:
256,192,48375,1,0,0:0:0:0:
256,192,49125,1,0,0:0:0:0:
256,192,49875,1,8,0:0:0:0:
256,192,50625,1,8,0:0:0:0:
256,192,51562,1,0,0:0:0:0:
256,192,52125,1,0,0:0:0:0:
256,192,52875,1,8,0:0:0:0:
256,192,53437,1,8,0:0:0:0:
256,192,54375,1,0,0:0:0:0:
256,192,55125,1,0,0:0:0:0:
256,192,55875,1,8,0:0:0:0:
256,192,56625,1,8,0:0:0:0:
256,192,57375,1,0,0:0:0:0:
256,192,57750,1,0,0:0:0:0:
256,192,58125,1,8,0:0:0:0:
256,192,58875,1,0,0:0:0:0:
256,192,59625,1,8,0:0:0:0:
256,192,60375,1,4,0:0:0:0:
256,192,61875,1,8,0:0:0:0:
256,192,62625,1,8,0:0:0:0:
256,192,63375,1,0,0:0:0:0:
256,192,64875,1,8,0:0:0:0:
256,192,65625,1,0,0:0:0:0:
256,192,66375,1,8,0:0:0:0:
256,192,67875,1,0,0:0:0:0:
256,192,68625,1,8,0:0:0:0:
256,192,69375,1,0,0:0:0:0:
256,192,70125,1,0,0:0:0:0:
256,192,70875,1,8,0:0:0:0:
256,192,71625,1,8,0:0:0:0:
256,192,72000,1,8,0:0:0:0:
256,192,72375,1,0,0:0:0:0:
256,192,73125,1,0,0:0:0:0:
256,192,73875,1,0,0:0:0:0:
256,192,74625,1,8,0:0:0:0:
256,192,75000,1,8,0:0:0:0:
256,192,75375,1,0,0:0:0:0:
256,192,76125,1,0,0:0:0:0:
256,192,76875,1,8,0:0:0:0:
256,192,77625,1,8,0:0:0:0:
256,192,78000,1,0,0:0:0:0:
256,192,78375,1,8,0:0:0:0:
256,192,79125,1,0,0:0:0:0:
256,192,79875,1,8,0:0:0:0:
256,192,80625,1,0,0:0:0:0:
256,192,81000,1,0,0:0:0:0:
256,192,81375,1,8,0:0:0:0:
256,192,82125,1,0,0:0:0:0:
256,192,82875,1,8,0:0:0:0:
256,192,83625,1,8,0:0:0:0:
256,192,84375,1,0,0:0:0:0:
256,192,85875,5,4,0:0:0:0:
256,192,86625,1,8,0:0:0:0:
256,192,87187,1,8,0:0:0:0:
256,192,88125,1,0,0:0:0:0:
256,192,88500,1,8,0:0:0:0:
256,192,88875,1,0,0:0:0:0:
